Transaction_ID,Date,Time,Outlet,Category,Product_Name,Quantity_Sold,Unit_Price_RM,Total_Revenue_RM,Payment_Method
TXN-1058,1/2/2026,8:01,Putrajaya,Milk-based,Cappuccino,2,11,22,Cash
TXN-1036,1/2/2026,8:06,Putrajaya,Espresso-based,Americano,1,9,9,Cash
TXN-1032,1/2/2026,8:09,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1129,1/2/2026,8:09,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1120,1/2/2026,8:20,Puncak Alam,Espresso-based,Americano,2,9,18,QR
TXN-1126,1/2/2026,8:23,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1037,1/2/2026,8:25,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1002,1/2/2026,8:28,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1005,1/2/2026,8:29,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1063,1/2/2026,8:29,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1075,1/2/2026,8:38,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1101,1/2/2026,8:45,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1078,1/2/2026,8:51,Puncak Alam,Espresso-based,Americano,2,9,18,QR
TXN-1045,1/2/2026,8:52,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1079,1/2/2026,9:04,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1026,1/2/2026,9:30,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1009,1/2/2026,9:33,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1077,1/2/2026,9:36,Puncak Alam,Milk-based,Mocha,1,12,12,QR
TXN-1064,1/2/2026,9:37,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1059,1/2/2026,9:51,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1011,1/2/2026,10:03,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1035,1/2/2026,10:06,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1092,1/2/2026,10:18,Puncak Alam,Milk-based,Mocha,2,12,24,QR
TXN-1132,1/2/2026,10:28,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1111,1/2/2026,10:33,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1020,1/2/2026,10:36,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1073,1/2/2026,11:04,Puncak Alam,Milk-based,Caramel Macchiato,3,13,39,QR
TXN-1117,1/2/2026,11:04,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1028,1/2/2026,11:09,Putrajaya,Milk-based,Cappuccino,1,11,11,Cash
TXN-1013,1/2/2026,11:14,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1001,1/2/2026,11:30,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1010,1/2/2026,11:31,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1076,1/2/2026,11:38,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1047,1/2/2026,11:47,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1107,1/2/2026,11:52,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14,28,QR
TXN-1090,1/2/2026,11:53,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1006,1/2/2026,11:55,Putrajaya,Espresso-based,Americano,1,9,9,QR
TXN-1083,1/2/2026,12:04,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1015,1/2/2026,12:14,Putrajaya,Espresso-based,Americano,2,9,18,QR
TXN-1033,1/2/2026,12:15,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1099,1/2/2026,12:15,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1071,1/2/2026,12:20,Puncak Alam,Espresso-based,Espresso,1,7,7,Cash
TXN-1031,1/2/2026,12:23,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1095,1/2/2026,12:33,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1052,1/2/2026,12:35,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1051,1/2/2026,12:45,Putrajaya,Milk-based,Latte,1,11,11,QR
TXN-1024,1/2/2026,13:13,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1093,1/2/2026,13:13,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1056,1/2/2026,13:20,Putrajaya,Milk-based,Mocha,1,12,12,QR
TXN-1128,1/2/2026,13:24,Puncak Alam,Milk-based,Caramel Macchiato,1,13,13,QR
TXN-1050,1/2/2026,13:43,Putrajaya,Milk-based,Caramel Macchiato,3,13,39,Cash
TXN-1012,1/2/2026,13:52,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1044,1/2/2026,13:52,Putrajaya,Espresso-based,Espresso,1,7,7,QR
TXN-1096,1/2/2026,13:55,Puncak Alam,Espresso-based,Espresso,3,7,21,QR
TXN-1080,1/2/2026,14:12,Puncak Alam,Espresso-based,Americano,1,9,9,Cash
TXN-1125,1/2/2026,14:13,Puncak Alam,Milk-based,Mocha,3,12,36,QR
TXN-1041,1/2/2026,14:14,Putrajaya,Milk-based,Caramel Macchiato,1,13,13,Cash
TXN-1121,1/2/2026,14:14,Puncak Alam,Espresso-based,Espresso,1,7,7,QR
TXN-1018,1/2/2026,14:21,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1082,1/2/2026,14:30,Puncak Alam,Espresso-based,Espresso,3,7,21,QR
TXN-1017,1/2/2026,14:39,Putrajaya,Milk-based,Latte,2,11,22,QR
TXN-1109,1/2/2026,14:41,Puncak Alam,Espresso-based,Espresso,2,7,14,QR
TXN-1057,1/2/2026,14:47,Putrajaya,Milk-based,Mocha,1,12,12,Cash
TXN-1110,1/2/2026,14:54,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1108,1/2/2026,14:55,Puncak Alam,Milk-based,Cappuccino,1,11,11,QR
TXN-1087,1/2/2026,14:59,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1038,1/2/2026,15:07,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1048,1/2/2026,15:23,Putrajaya,Milk-based,Mocha,3,12,36,Cash
TXN-1042,1/2/2026,15:25,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14,14,Cash
TXN-1103,1/2/2026,15:25,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14,14,QR
TXN-1091,1/2/2026,15:33,Puncak Alam,Milk-based,Mocha,1,12,12,Cash
TXN-1119,1/2/2026,15:33,Puncak Alam,Espresso-based,Americano,1,9,9,QR
TXN-1049,1/2/2026,15:43,Putrajaya,Espresso-based,Espresso,2,7,14,QR
TXN-1039,1/2/2026,15:44,Putrajaya,Espresso-based,Espresso,2,7,14,Cash
TXN-1131,1/2/2026,15:54,Puncak Alam,Milk-based,Cappuccino,2,11,22,QR
TXN-1008,1/2/2026,15:57,Putrajaya,Milk-based,Mocha,2,12,24,QR
TXN-1030,1/2/2026,16:02,Putrajaya,Espresso-based,Americano,1,9,9,QR
