Transaction_ID,Date,Time,Outlet,Category,Product_Name,Quantity_Sold,Unit_Price_RM,Total_Revenue_RM,Payment_Method,Weather_Condition
TXN-1058,2026-02-01,08:01,Putrajaya,Milk-based,Cappuccino,2,11.0,22.0,Cash,Sunny
TXN-1036,2026-02-01,08:06,Putrajaya,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1032,2026-02-01,08:09,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1129,2026-02-01,08:09,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Sunny
TXN-1120,2026-02-01,08:20,Puncak Alam,Espresso-based,Americano,2,9.0,18.0,QR,Sunny
TXN-1126,2026-02-01,08:23,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1037,2026-02-01,08:25,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1002,2026-02-01,08:28,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1005,2026-02-01,08:29,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1063,2026-02-01,08:29,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1075,2026-02-01,08:38,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1101,2026-02-01,08:45,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1078,2026-02-01,08:51,Puncak Alam,Espresso-based,Americano,2,9.0,18.0,QR,Sunny
TXN-1045,2026-02-01,08:52,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1079,2026-02-01,09:04,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1026,2026-02-01,09:30,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1009,2026-02-01,09:33,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1077,2026-02-01,09:36,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1064,2026-02-01,09:37,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1059,2026-02-01,09:51,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1011,2026-02-01,10:03,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1035,2026-02-01,10:06,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1092,2026-02-01,10:18,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR,Sunny
TXN-1132,2026-02-01,10:28,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1111,2026-02-01,10:33,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1020,2026-02-01,10:36,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1073,2026-02-01,11:04,Puncak Alam,Milk-based,Caramel Macchiato,3,13.0,39.0,QR,Sunny
TXN-1117,2026-02-01,11:04,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1028,2026-02-01,11:09,Putrajaya,Milk-based,Cappuccino,1,11.0,11.0,Cash,Sunny
TXN-1013,2026-02-01,11:14,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1001,2026-02-01,11:30,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1010,2026-02-01,11:31,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1076,2026-02-01,11:38,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1047,2026-02-01,11:47,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1107,2026-02-01,11:52,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR,Sunny
TXN-1090,2026-02-01,11:53,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1006,2026-02-01,11:55,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1083,2026-02-01,12:04,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1015,2026-02-01,12:14,Putrajaya,Espresso-based,Americano,2,9.0,18.0,QR,Sunny
TXN-1033,2026-02-01,12:15,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1099,2026-02-01,12:15,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1071,2026-02-01,12:20,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,Cash,Sunny
TXN-1031,2026-02-01,12:23,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Sunny
TXN-1095,2026-02-01,12:33,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1052,2026-02-01,12:35,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1051,2026-02-01,12:45,Putrajaya,Milk-based,Latte,1,11.0,11.0,QR,Sunny
TXN-1024,2026-02-01,13:13,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1093,2026-02-01,13:13,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1056,2026-02-01,13:20,Putrajaya,Milk-based,Mocha,1,12.0,12.0,QR,Sunny
TXN-1128,2026-02-01,13:24,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR,Sunny
TXN-1050,2026-02-01,13:43,Putrajaya,Milk-based,Caramel Macchiato,3,13.0,39.0,Cash,Sunny
TXN-1012,2026-02-01,13:52,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1044,2026-02-01,13:52,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1096,2026-02-01,13:55,Puncak Alam,Espresso-based,Espresso,3,7.0,21.0,QR,Sunny
TXN-1080,2026-02-01,14:12,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash,Sunny
TXN-1125,2026-02-01,14:13,Puncak Alam,Milk-based,Mocha,3,12.0,36.0,QR,Sunny
TXN-1041,2026-02-01,14:14,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash,Sunny
TXN-1121,2026-02-01,14:14,Puncak Alam,Espresso-based,Espresso,1,7.0,7.0,QR,Sunny
TXN-1018,2026-02-01,14:21,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1082,2026-02-01,14:30,Puncak Alam,Espresso-based,Espresso,3,7.0,21.0,QR,Sunny
TXN-1017,2026-02-01,14:39,Putrajaya,Milk-based,Latte,2,11.0,22.0,QR,Sunny
TXN-1109,2026-02-01,14:41,Puncak Alam,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
TXN-1057,2026-02-01,14:47,Putrajaya,Milk-based,Mocha,1,12.0,12.0,Cash,Sunny
TXN-1110,2026-02-01,14:54,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1108,2026-02-01,14:55,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR,Sunny
TXN-1087,2026-02-01,14:59,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1038,2026-02-01,15:07,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1048,2026-02-01,15:23,Putrajaya,Milk-based,Mocha,3,12.0,36.0,Cash,Sunny
TXN-1042,2026-02-01,15:25,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,Cash,Sunny
TXN-1103,2026-02-01,15:25,Puncak Alam,Ice Blended,Ice Blended Chocolate Chip,1,14.0,14.0,QR,Sunny
TXN-1091,2026-02-01,15:33,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,Cash,Sunny
TXN-1119,2026-02-01,15:33,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,QR,Sunny
TXN-1049,2026-02-01,15:43,Putrajaya,Espresso-based,Espresso,2,7.0,14.0,QR,Sunny
