Transaction_ID,Date,Time,Outlet,Category,Product_Name,Quantity_Sold,Unit_Price_RM,Total_Revenue_RM,Payment_Method
TXN-50041,2025-01-01,09:08,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,Cash
TXN-50101,2025-01-01,09:18,Puncak Alam,Milk-based,Latte,3,11.0,33.0,QR
TXN-50028,2025-01-01,09:34,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR
TXN-50033,2025-01-01,09:43,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR
TXN-50073,2025-01-01,09:50,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR
TXN-50088,2025-01-01,09:50,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,QR
TXN-50079,2025-01-01,10:09,Puncak Alam,Espresso-based,Espresso,2,7.0,14.0,Cash
TXN-50002,2025-01-01,10:10,Putrajaya,Ice Blended,Ice Blended Chocolate Chip,2,14.0,28.0,QR
TXN-50019,2025-01-01,10:10,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR
TXN-50072,2025-01-01,10:11,Puncak Alam,Milk-based,Latte,4,11.0,44.0,Cash
TXN-50022,2025-01-01,10:14,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR
TXN-50039,2025-01-01,10:15,Puncak Alam,Milk-based,Latte,2,11.0,22.0,QR
TXN-50021,2025-01-01,10:19,Putrajaya,Milk-based,Caramel Macchiato,1,13.0,13.0,QR
TXN-50091,2025-01-01,10:33,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,QR
TXN-50050,2025-01-01,10:34,Puncak Alam,Milk-based,Mocha,1,12.0,12.0,QR
TXN-50099,2025-01-01,10:34,Puncak Alam,Milk-based,Mocha,3,12.0,36.0,Cash
TXN-50031,2025-01-01,10:51,Putrajaya,Espresso-based,Espresso,1,7.0,7.0,QR
TXN-50077,2025-01-01,10:55,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR
TXN-50071,2025-01-01,10:56,Puncak Alam,Espresso-based,Americano,1,9.0,9.0,Cash
TXN-50043,2025-01-01,10:59,Puncak Alam,Milk-based,Cappuccino,1,11.0,11.0,Cash
TXN-50032,2025-01-01,11:25,Putrajaya,Espresso-based,Americano,1,9.0,9.0,QR
TXN-50078,2025-01-01,11:38,Puncak Alam,Milk-based,Cappuccino,2,11.0,22.0,QR
TXN-50048,2025-01-01,11:43,Puncak Alam,Milk-based,Caramel Macchiato,1,13.0,13.0,Cash
TXN-50069,2025-01-01,11:44,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR
TXN-50037,2025-01-01,12:00,Putrajaya,Milk-based,Latte,1,11.0,11.0,Cash
TXN-50023,2025-01-01,12:11,Putrajaya,Milk-based,Mocha,1,12.0,12.0,Cash
TXN-50016,2025-01-01,12:25,Putrajaya,Espresso-based,Americano,2,9.0,18.0,QR
TXN-50087,2025-01-01,12:25,Puncak Alam,Milk-based,Latte,1,11.0,11.0,QR
TXN-50013,2025-01-01,12:28,Putrajaya,Milk-based,Mocha,2,12.0,24.0,Cash
TXN-50044,2025-01-01,12:28,Puncak Alam,Milk-based,Mocha,2,12.0,24.0,QR
